概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"エーザイ(4523)の買い予想。 徳川慶喜 さんの売買予想。 目標株価： 6,638円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",エーザイ,2017/04/01,15:19,買い予想,徳川慶喜さん,対象外,"5,808.0",-1.61,"6,638",長期(数ヶ月～数年),個人投資家の予想,,"5,776.0",04月09日,00:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\1.html
"エーザイ(4523)の買い予想。 ごんのすけ さんの売買予想。 目標株価： 6,825円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価6,825円",エーザイ,2016/11/09,13:20,買い予想,ごんのすけさん,対象外,"6,117.0",-15.89,"6,825",長期(数ヶ月～数年),その他,,"5,776.0",04月09日,00:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\10.html
"エーザイ(4523)の買い予想。 a62*219* さんの売買予想。 目標株価： 2,800円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 買い予想",エーザイ,2010/12/14,06:19,買い予想,a62*219*さん,150.45,"2,899.0",+282.10,"2,800",中期(数週間～数ヶ月),配当(株主優待を含む),,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\100.html
"エーザイ(4523)の買い予想。 白戸 次郎 さんの売買予想。 目標株価： 3,000円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 個人投資家の意見「売り」に反対",エーザイ,2010/12/07,14:45,買い予想,白戸　次郎さん,342.72,"2,870.0",+287.82,"3,000",中期(数週間～数ヶ月),配当(株主優待を含む),,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\101.html
"エーザイ(4523)の買い予想。 yoc1234 さんの売買予想。 目標株価： 4,350円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",エーザイ,2010/12/02,09:32,買い予想,yoc1234さん,458.15,"2,900.0",+281.90,"4,350",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\102.html
"エーザイ(4523)の買い予想。 らたん さんの売買予想。 目標株価： 3,000円 期間： 中期(数週間~数ヶ月) 買い",エーザイ,2010/11/30,02:01,買い予想,らたんさん,対象外,"2,883.0",+285.24,"3,000",中期(数週間～数ヶ月),,,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\103.html
"エーザイ(4523)の買い予想。 naosi さんの売買予想。 目標株価： 2,750円 期間： 長期(数ヶ月～数年) 理由： 配当(株主優待を含む) 個人投資家の意見「売り」に反対",エーザイ,2010/11/29,22:15,買い予想,naosiさん,246.01,"2,883.0",+285.24,"2,750",長期(数ヶ月～数年),配当(株主優待を含む),,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\104.html
"エーザイ(4523)の買い予想。 近畿の星 さんの売買予想。 目標株価： 3,300円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対",エーザイ,2010/11/24,13:36,買い予想,近畿の星さん,135.84,"2,981.0",+266.52,"3,300",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2010/11/23 03:14
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「2,817円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\105.html
エーザイ(4523)の買い予想。 アジア さんの売買予想。 目標株価： 0円 期間： 中期(数週間~数ヶ月) 買い,エーザイ,2010/11/19,08:38,買い予想,アジアさん,609.13,"3,020.0",+259.40,--,中期(数週間～数ヶ月),,,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\106.html
"エーザイ(4523)の買い予想。 由良川 さんの売買予想。 目標株価： 3,874円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",エーザイ,2010/11/19,01:44,買い予想,由良川さん,197.63,"3,020.0",+259.40,"3,874",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2010/11/18 03:14
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「3,325円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\107.html
"エーザイ(4523)の売り予想。 赤鬼ルスカ さんの売買予想。 目標株価： 2,682円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 個人投資家の意見「売り」に賛成",エーザイ,2010/11/18,17:09,売り予想,赤鬼ルスカさん,-261.19,"3,020.0",-259.59,"2,682",中期(数週間～数ヶ月),配当(株主優待を含む),,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\108.html
"エーザイ(4523)の売り予想。 pip*map* さんの売買予想。 目標株価： 2,033円 期間： 短期(数分~数日) シグナルが出ています",エーザイ,2010/11/18,06:02,売り予想,pip*map*さん,254.33,"2,924.0",-277.45,"2,033",短期(数分～数日),,,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\109.html
"エーザイ(4523)の買い予想。 masahira さんの売買予想。 目標株価： 7,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 好業績",エーザイ,2016/07/29,13:29,買い予想,masahiraさん,対象外,"5,913.0",-6.63,"7,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"5,776.0",04月09日,00:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\11.html
"エーザイ(4523)の買い予想。 ﾋﾞﾊﾞゆっち さんの売買予想。 目標株価： 3,300円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 便乗して",エーザイ,2010/11/17,20:14,買い予想,ﾋﾞﾊﾞゆっちさん,262.57,"2,924.0",+277.26,"3,300",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),便乗しちゃいました[emo:153],"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\110.html
"エーザイ(4523)の買い予想。 naoson さんの売買予想。 目標株価： 3,500円 期間： 中期(数週間~数ヶ月) 理由： その他 kai",エーザイ,2010/11/17,11:47,買い予想,naosonさん,319.99,"2,889.0",+284.06,"3,500",中期(数週間～数ヶ月),その他,,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\111.html
"エーザイ(4523)の買い予想。 komkom(*~(ｴ)~*) さんの売買予想。 目標株価： 3,266円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い(’(エ)’) ",エーザイ,2010/11/16,10:05,買い予想,komko,268.64,"2,890.0",+283.86,"3,266",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"↓コメント欄追加情報

●　2011/03/02 09:02 ﾄﾑｿﾝﾛｲﾀｰ 
ホットストック：エーザイしっかり、仏サノフィとワクチン事業で提携との報道 
●　2011/03/04 11:36 株式新聞 
エーザイが続伸、中期経営計画「はやぶさ」で最終年度の営業益２０００億円超を目指す  ●　2011/03/08 08:17 株式新聞 
レーティング情報＝エーザイ、シティグループ証は投資判断「買い」に引き上げ ","5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\112.html
"エーザイ(4523)の買い予想。 はや さんの売買予想。 目標株価： 3,341円 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",エーザイ,2010/11/07,11:09,買い予想,はやさん,396.93,"2,817.0",+298.59,"3,341",,業績(会社計画の修正発表を含む),"【株価分析結果】2010/11/06 03:14
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「3,340円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\113.html
"エーザイ(4523)の買い予想。 ds400serika さんの売買予想。 目標株価： 3,000円 期間： 短期(数分~数日) 買い",エーザイ,2010/11/05,11:42,買い予想,ds400serikaさん,321.14,"2,787.0",+304.86,"3,000",短期(数分～数日),,,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\114.html
"エーザイ(4523)の買い予想。 AFX さんの売買予想。 目標株価： 3,300円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対",エーザイ,2010/10/20,16:47,買い予想,AFXさん,-35.59,"2,830.0",+295.91,"3,300",中期(数週間～数ヶ月),その他,来年のスギ花粉予想から,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\115.html
"エーザイ(4523)の買い予想。 'ﾜﾝ' さんの売買予想。 目標株価： 3,200円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",エーザイ,2010/10/13,02:58,買い予想,'ﾜﾝ'さん,512.57,"2,873.0",+287.23,"3,200",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\116.html
"エーザイ(4523)の買い予想。 sinhtaka さんの売買予想。 目標株価： 3,386円 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",エーザイ,2010/10/05,13:21,買い予想,sinhtakaさん,-106.08,"2,852.0",+291.43,"3,386",,業績(会社計画の修正発表を含む),"【株価分析結果】2010/10/05 03:14
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「3,385円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\117.html
"エーザイ(4523)の買い予想。 あぶらうり さんの売買予想。 目標株価： 3,200円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 買いました",エーザイ,2010/09/22,19:18,買い予想,あぶらうりさん,604.3,"3,095.0",+246.23,"3,200",中期(数週間～数ヶ月),配当(株主優待を含む),これ位ならｲってくれるでしょう｡,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\118.html
"エーザイ(4523)の買い予想。 テルライド さんの売買予想。 目標株価： 4,600円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対",エーザイ,2010/09/21,15:23,買い予想,テルライドさん,163.39,"3,080.0",+248.81,"4,600",中期(数週間～数ヶ月),その他,,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\119.html
"エーザイ(4523)の買い予想。 ++moc++ さんの売買予想。 目標株価： 6,313円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",エーザイ,2016/07/27,23:33,買い予想,++moc++さん,対象外,"6,168.0",-18.11,"6,313",短期(数分～数日),業績(会社計画の修正発表を含む),,"5,776.0",04月09日,00:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\12.html
エーザイ(4523)の買い予想。 わさびさん さんの売買予想。 期間： 中期(数週間~数ヶ月) 個人投資家の意見「売り」に反対,エーザイ,2010/09/14,01:24,買い予想,わさびさんさん,588.0,"3,135.0",+239.46,--,中期(数週間～数ヶ月),,,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\120.html
"エーザイ(4523)の買い予想。 naruとと さんの売買予想。 目標株価： 3,750円 期間： 短期(数分~数日) 理由： 配当(株主優待を含む) 配当狙い",エーザイ,2010/09/06,22:49,買い予想,naruととさん,128.56,"3,120.0",+241.97,"3,750",短期(数分～数日),配当(株主優待を含む),９月末にかけて２０％ＵＰしてくると思います。,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\121.html
"エーザイ(4523)の買い予想。 神野桜子 さんの売買予想。 目標株価： 4,000円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 配当金！",エーザイ,2010/09/06,22:03,買い予想,神野桜子さん,263.72,"3,120.0",+241.97,"4,000",中期(数週間～数ヶ月),配当(株主優待を含む),,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\122.html
"エーザイ(4523)の買い予想。 fjkw さんの売買予想。 目標株価： 4,000円 期間： 長期(数ヶ月～数年) 理由： 配当(株主優待を含む) 利回り最高！銀行がわりで活用",エーザイ,2010/08/30,12:24,買い予想,fjkwさん,477.98,"3,105.0",+244.52,"4,000",長期(数ヶ月～数年),配当(株主優待を含む),,"5,776.0",04月09日,00:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\123.html
"エーザイ(4523)の売り予想。 ota*143 さんの売買予想。 目標株価： 2,800円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に反対",エーザイ,2010/08/28,07:31,売り予想,ota*143さん,-108.33,"3,090.0",-247.27,"2,800",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2010/08/28 03:15
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「3,440円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","5,776.0",04月09日,00:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\124.html
"エーザイ(4523)の買い予想。 寝り猫 さんの売買予想。 目標株価： 3,700円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) ほしい！！！",エーザイ,2010/08/17,19:48,買い予想,寝り猫さん,314.34,"3,030.0",+257.61,"3,700",中期(数週間～数ヶ月),配当(株主優待を含む),配当ほしいよぉ^_^;,"5,776.0",04月09日,00:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\125.html
"エーザイ(4523)の買い予想。 sinsia さんの売買予想。 目標株価： 3,900円 理由： 業績(会社計画の修正発表を含む) めっちゃ使ってますから～",エーザイ,2010/08/17,16:27,買い予想,sinsiaさん,227.75,"3,030.0",+257.61,"3,900",,業績(会社計画の修正発表を含む),,"5,776.0",04月09日,00:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\126.html
"エーザイ(4523)の買い予想。 待てばお得 さんの売買予想。 目標株価： 3,600円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",エーザイ,2010/08/03,13:42,買い予想,待てばお得さん,539.26,"2,973.0",+536.00,"3,600",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2010/08/03 03:14
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「3,488円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","5,776.0",04月09日,00:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\127.html
"エーザイ(4523)の買い予想。 kabocci さんの売買予想。 目標株価： 4,000円 期間： 長期(数ヶ月～数年) 理由： 配当(株主優待を含む) 買い",エーザイ,2010/07/25,16:57,買い予想,kabocciさん,402.86,"2,900.0",+281.90,"4,000",長期(数ヶ月～数年),配当(株主優待を含む),,"5,776.0",04月09日,00:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\128.html
"エーザイ(4523)の買い予想。 ｽｶｸﾝ さんの売買予想。 目標株価： 4,000円 期間： 長期(数ヶ月～数年) 理由： チャート 上がるはず",エーザイ,2010/07/20,21:16,買い予想,ｽｶｸﾝさん,326.08,"2,808.0",+300.46,"4,000",長期(数ヶ月～数年),チャート,上がって欲しいね,"5,776.0",04月09日,00:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\129.html
"エーザイ(4523)の買い予想。 skybb さんの売買予想。 目標株価： 9,000円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",エーザイ,2016/07/09,22:07,買い予想,skybbさん,対象外,"5,609.0",+8.41,"9,000",中期(数週間～数ヶ月),チャート,"UBS

エーザイ（4523）
投資判断「Buy」で新規にカバレッジを開始。目標株価は9000円に設定。","5,776.0",04月09日,00:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\13.html
エーザイ(4523)の買い予想。 sami- さんの売買予想。 目標株価： 0円 期間： 中期(数週間~数ヶ月) 買い,エーザイ,2010/06/23,20:37,買い予想,sami-さん,221.45,"2,994.0",+264.13,--,中期(数週間～数ヶ月),,,"5,776.0",04月09日,00:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\130.html
"エーザイ(4523)の買い予想。 ミスターポジ さんの売買予想。 目標株価： 3,400円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割安」に賛成",エーザイ,2010/06/13,08:55,買い予想,ミスターポジさん,242.53,"2,967.0",+269.12,"3,400",中期(数週間～数ヶ月),チャート,"【株価分析結果】2010/06/12 03:14
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「3,571円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","5,776.0",04月09日,00:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\131.html
エーザイ(4523)の買い予想。 りりぃ♪ さんの売買予想。 期間： 中期(数週間~数ヶ月) くるでしょうか,エーザイ,2010/05/26,10:19,買い予想,りりぃ♪さん,531.26,"3,020.0",+259.40,--,中期(数週間～数ヶ月),,,"5,776.0",04月09日,00:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\132.html
"エーザイ(4523)の買い予想。 ☆ﾄﾓ☆ さんの売買予想。 目標株価： 3,300円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 買い",エーザイ,2010/05/19,12:52,買い予想,☆ﾄﾓ☆さん,444.02,"3,085.0",+247.95,"3,300",中期(数週間～数ヶ月),配当(株主優待を含む),,"5,776.0",04月09日,00:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\133.html
エーザイ(4523)の買い予想。 うちのポチ さんの売買予想。 期間： 中期(数週間~数ヶ月) 理由： チャート 好転,エーザイ,2010/05/18,19:08,買い予想,うちのポチさん,90.95,"3,055.0",+253.17,--,中期(数週間～数ヶ月),チャート,,"5,776.0",04月09日,00:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\134.html
"エーザイ(4523)の買い予想。 フォーナイン さんの売買予想。 目標株価： 3,450円 期間： 中期(数週間~数ヶ月) 理由： その他 青木さんもお世話になったかも",エーザイ,2010/05/17,00:16,買い予想,フォーナインさん,42.85,"3,090.0",+247.08,"3,450",中期(数週間～数ヶ月),その他,,"5,776.0",04月09日,00:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\135.html
"エーザイ(4523)の買い予想。 ｾﾙﾗﾘｱﾝ さんの売買予想。 目標株価： 3,300円 期間： 中期(数週間~数ヶ月) 理由： その他 買い？",エーザイ,2010/05/07,13:33,買い予想,ｾﾙﾗﾘｱﾝさん,220.08,"3,080.0",+248.81,"3,300",中期(数週間～数ヶ月),その他,,"5,776.0",04月09日,00:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\136.html
"エーザイ(4523)の買い予想。 とかめ さんの売買予想。 目標株価： 4,212円 期間： 長期(数ヶ月～数年) 理由： 配当(株主優待を含む) 個人投資家の意見「買い」に賛成",エーザイ,2010/05/02,11:37,買い予想,とかめさん,195.47,"3,140.0",+238.62,"4,212",長期(数ヶ月～数年),配当(株主優待を含む),,"5,776.0",04月09日,00:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4523-エーザイ/2017-04-09-00-28-35/comment\137.html
